Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
USP17L2	8p23.1	10 (5.24%)	17 (19.10%)	-1.87	4.520e-4	0.667	(B) SARIFA
DMXL1	5q23.1	19 (9.95%)	0 (0.00%)	>10	5.163e-4	0.667	(A) NON-SARIFA
NCAN	19p12	19 (9.95%)	0 (0.00%)	>10	5.163e-4	0.667	(A) NON-SARIFA
TMEM248	7q11.21	2 (1.05%)	9 (10.11%)	-3.27	7.365e-4	0.667	(B) SARIFA
AGPAT3	21q22.3	0 (0.00%)	6 (6.74%)	<-10	9.163e-4	0.667	(B) SARIFA
PDXK	21q22.3	0 (0.00%)	6 (6.74%)	<-10	9.163e-4	0.667	(B) SARIFA
CACNA1C-IT3	12p13.33	1 (0.52%)	7 (7.87%)	-3.91	1.637e-3	0.667	(B) SARIFA
GTF2IRD1P1	7q11.21	1 (0.52%)	7 (7.87%)	-3.91	1.637e-3	0.667	(B) SARIFA
AJAP1	1p36.32	2 (1.05%)	8 (8.99%)	-3.10	2.029e-3	0.667	(B) SARIFA
BCAT1	12p12.1	10 (5.24%)	15 (16.85%)	-1.69	2.185e-3	0.667	(B) SARIFA
PPP1R10	6p21.33	20 (10.47%)	1 (1.12%)	3.22	2.670e-3	0.667	(A) NON-SARIFA
CEP131	17q25.3	15 (7.85%)	0 (0.00%)	>10	2.684e-3	0.667	(A) NON-SARIFA
UST	6q25.1	15 (7.85%)	0 (0.00%)	>10	2.684e-3	0.667	(A) NON-SARIFA
ZNF676	19p12	15 (7.85%)	0 (0.00%)	>10	2.684e-3	0.667	(A) NON-SARIFA
CCDC3	10p13	0 (0.00%)	5 (5.62%)	<-10	3.000e-3	0.667	(B) SARIFA
CT66	7q11.22	0 (0.00%)	5 (5.62%)	<-10	3.000e-3	0.667	(B) SARIFA
LINC00314	21q21.3	0 (0.00%)	5 (5.62%)	<-10	3.000e-3	0.667	(B) SARIFA
SOX7	8p23.1	15 (7.85%)	18 (20.22%)	-1.36	3.358e-3	0.667	(B) SARIFA
FAM86B2	8p23.1	11 (5.76%)	15 (16.85%)	-1.55	3.789e-3	0.667	(B) SARIFA
BTBD11	12q23.3	19 (9.95%)	1 (1.12%)	3.15	3.861e-3	0.667	(A) NON-SARIFA
RALGAPA2	20p11.23	19 (9.95%)	1 (1.12%)	3.15	3.861e-3	0.667	(A) NON-SARIFA
SLCO3A1	15q26.1	19 (9.95%)	1 (1.12%)	3.15	3.861e-3	0.667	(A) NON-SARIFA
VARS1	6p21.33	19 (9.95%)	1 (1.12%)	3.15	3.861e-3	0.667	(A) NON-SARIFA
VPS13C	15q22.2	19 (9.95%)	1 (1.12%)	3.15	3.861e-3	0.667	(A) NON-SARIFA
PRRC2A	6p21.33	23 (12.04%)	2 (2.25%)	2.42	4.023e-3	0.667	(A) NON-SARIFA
C2ORF16	2p23.3	14 (7.33%)	0 (0.00%)	>10	4.034e-3	0.667	(A) NON-SARIFA
DEPDC1B	5q12.1	14 (7.33%)	0 (0.00%)	>10	4.034e-3	0.667	(A) NON-SARIFA
DUOX1	15q21.1	14 (7.33%)	0 (0.00%)	>10	4.034e-3	0.667	(A) NON-SARIFA
PCDHA3	5q31.3	14 (7.33%)	0 (0.00%)	>10	4.034e-3	0.667	(A) NON-SARIFA
TFAP2D	6p12.3	14 (7.33%)	0 (0.00%)	>10	4.034e-3	0.667	(A) NON-SARIFA
NLRP2	19q13.42	5 (2.62%)	10 (11.24%)	-2.10	4.688e-3	0.667	(B) SARIFA
CACNA1C-AS1	12p13.33	1 (0.52%)	6 (6.74%)	-3.69	4.749e-3	0.667	(B) SARIFA
CACNA1C-AS4	12p13.33	1 (0.52%)	6 (6.74%)	-3.69	4.749e-3	0.667	(B) SARIFA
COQ8B	19q13.2	1 (0.52%)	6 (6.74%)	-3.69	4.749e-3	0.667	(B) SARIFA
GATD3	21q22.3	1 (0.52%)	6 (6.74%)	-3.69	4.749e-3	0.667	(B) SARIFA
RABGEF1P1	7q11.21	1 (0.52%)	6 (6.74%)	-3.69	4.749e-3	0.667	(B) SARIFA
PLS1	3q23	2 (1.05%)	7 (7.87%)	-2.91	5.435e-3	0.667	(B) SARIFA
RABGEF1	7q11.21	2 (1.05%)	7 (7.87%)	-2.91	5.435e-3	0.667	(B) SARIFA
RAD52	12p13.33	2 (1.05%)	7 (7.87%)	-2.91	5.435e-3	0.667	(B) SARIFA
RNF207	1p36.31	2 (1.05%)	7 (7.87%)	-2.91	5.435e-3	0.667	(B) SARIFA
TRAK1	3p22.1	2 (1.05%)	7 (7.87%)	-2.91	5.435e-3	0.667	(B) SARIFA
HIPK4	19q13.2	3 (1.57%)	8 (8.99%)	-2.52	5.477e-3	0.667	(B) SARIFA
RHNO1	12p13.33	3 (1.57%)	8 (8.99%)	-2.52	5.477e-3	0.667	(B) SARIFA
TIGAR	12p13.32	3 (1.57%)	8 (8.99%)	-2.52	5.477e-3	0.667	(B) SARIFA
GDPGP1	15q26.1	18 (9.42%)	1 (1.12%)	3.07	5.563e-3	0.667	(A) NON-SARIFA
MYLK	3q21.1	18 (9.42%)	1 (1.12%)	3.07	5.563e-3	0.667	(A) NON-SARIFA
SLC29A1	6p21.1	18 (9.42%)	1 (1.12%)	3.07	5.563e-3	0.667	(A) NON-SARIFA
ZNF710	15q26.1	18 (9.42%)	1 (1.12%)	3.07	5.563e-3	0.667	(A) NON-SARIFA
ANPEP	15q26.1	22 (11.52%)	2 (2.25%)	2.36	5.651e-3	0.667	(A) NON-SARIFA
DST	6p12.1	29 (15.18%)	4 (4.49%)	1.76	5.859e-3	0.667	(A) NON-SARIFA
DDB1	11q12.2	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
F13A1	6p25.1	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
FAAP100	17q25.3	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
KIF21B	1q32.1	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
LYN	8q12.1	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
NCKIPSD	3p21.31	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
NT5DC1	6q22.1	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
PHLDB2	3q13.2	13 (6.81%)	0 (0.00%)	>10	6.051e-3	0.667	(A) NON-SARIFA
BCLAF1	6q23.3	25 (13.09%)	3 (3.37%)	1.96	7.001e-3	0.667	(A) NON-SARIFA
DSCAML1	11q23.3	25 (13.09%)	3 (3.37%)	1.96	7.001e-3	0.667	(A) NON-SARIFA
ITPR3	6p21.31	25 (13.09%)	3 (3.37%)	1.96	7.001e-3	0.667	(A) NON-SARIFA
EPHA2	1p36.13	11 (5.76%)	14 (15.73%)	-1.45	7.639e-3	0.667	(B) SARIFA
FAM86B1	8p23.1	11 (5.76%)	14 (15.73%)	-1.45	7.639e-3	0.667	(B) SARIFA
ARID4B	1q42.3	21 (10.99%)	2 (2.25%)	2.29	7.897e-3	0.667	(A) NON-SARIFA
DSP	6p24.3	21 (10.99%)	2 (2.25%)	2.29	7.897e-3	0.667	(A) NON-SARIFA
GREB1	2p25.1	21 (10.99%)	2 (2.25%)	2.29	7.897e-3	0.667	(A) NON-SARIFA
SUN1	7p22.3	21 (10.99%)	2 (2.25%)	2.29	7.897e-3	0.667	(A) NON-SARIFA
ASH1L	1q22	28 (14.66%)	4 (4.49%)	1.71	7.922e-3	0.667	(A) NON-SARIFA
MARK2	11q13.1	17 (8.90%)	1 (1.12%)	2.99	7.981e-3	0.667	(A) NON-SARIFA
MRPL14	6p21.1	17 (8.90%)	1 (1.12%)	2.99	7.981e-3	0.667	(A) NON-SARIFA
OCA2	15q12-q13.1	17 (8.90%)	1 (1.12%)	2.99	7.981e-3	0.667	(A) NON-SARIFA
PEX11A	15q26.1	17 (8.90%)	1 (1.12%)	2.99	7.981e-3	0.667	(A) NON-SARIFA
SIM1	6q16.3	17 (8.90%)	1 (1.12%)	2.99	7.981e-3	0.667	(A) NON-SARIFA
ASPH	8q12.3	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
CLCA4	1p22.3	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
GBA	1q22	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
ITGA11	15q23	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
LCP2	5q35.1	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
TRPC7	5q31.1	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
UBE4A	11q23.3	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
UPF1	19p13.11	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
USP14	18p11.32	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
VANGL2	1q23.2	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
XAB2	19p13.2	12 (6.28%)	0 (0.00%)	>10	9.060e-3	0.667	(A) NON-SARIFA
JPH3	16q24.2	6 (3.14%)	10 (11.24%)	-1.84	9.180e-3	0.667	(B) SARIFA
WWC2	4q35.1	6 (3.14%)	10 (11.24%)	-1.84	9.180e-3	0.667	(B) SARIFA
DEFB109A	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
DEFB130A	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
DEFB135	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
DEFB136	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
FAM66A	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
FAM66D	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
FAM86B2-DT	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
FAM90A25P	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
FAM90A2P	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
USP17L7	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
ZNF705D	8p23.1	10 (5.24%)	13 (14.61%)	-1.48	9.300e-3	0.667	(B) SARIFA
GRM1	6q24.3	24 (12.57%)	3 (3.37%)	1.90	9.571e-3	0.667	(A) NON-SARIFA
AATBC	21q22.3	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
AUNIP	1p36.11	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
BLVRB	19q13.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
CARNMT1	9q21.13	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
CLSTN2-AS1	3q23	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
CSTB	21q22.3	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
EPC2	2q23.1	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
KLRA1P	12p13.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
KRTAP13-3	21q22.11	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
KRTAP15-1	21q22.11	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
KRTAP21-2	21q22.11	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
LINC00161	21q21.3	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
LINC00307	21q22.11	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
LINC01005	7q11.21	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
MIA-RAB4B	19q13.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
NIPA1	15q11.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
NIPAL1	4p12	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
RAB4B-EGLN2	19q13.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
TAS2R43	12p13.2	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
ZNF200	16p13.3	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
ZNF727	7q11.21	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
ZNF735	7q11.21	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
ZRANB2	1p31.1	0 (0.00%)	4 (4.49%)	<-10	9.741e-3	0.667	(B) SARIFA
VSTM2A	7p11.2	5 (2.62%)	9 (10.11%)	-1.95	0.0106	0.667	(B) SARIFA
NOL6	9p13.3	20 (10.47%)	2 (2.25%)	2.22	0.0110	0.667	(A) NON-SARIFA
TTLL13	15q26.1	20 (10.47%)	2 (2.25%)	2.22	0.0110	0.667	(A) NON-SARIFA
DIDO1	20q13.33	30 (15.71%)	5 (5.62%)	1.48	0.0112	0.667	(A) NON-SARIFA
LINC02909	12p12.1	9 (4.71%)	12 (13.48%)	-1.52	0.0113	0.667	(B) SARIFA
ARFGEF3	6q23.3-q24.1	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
SHPRH	6q24.3	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
SLC35B2	6p21.1	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
SSH2	17q11.2	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
TEK	9p21.2	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
USF3	3q13.2	16 (8.38%)	1 (1.12%)	2.90	0.0114	0.667	(A) NON-SARIFA
IQSEC3	12p13.33	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
LTBP4	19q13.2	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
MRPS17	7p11.2	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
SEC61G	7p11.2	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
SEC61G-DT	7p11.2	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
SNRPA	19q13.2	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
TRPC3	4q27	4 (2.09%)	8 (8.99%)	-2.10	0.0121	0.667	(B) SARIFA
FDFT1	8p23.1	12 (6.28%)	14 (15.73%)	-1.32	0.0121	0.667	(B) SARIFA
CDH11	16q21	23 (12.04%)	3 (3.37%)	1.84	0.0130	0.667	(A) NON-SARIFA
HIVEP3	1p34.2	23 (12.04%)	3 (3.37%)	1.84	0.0130	0.667	(A) NON-SARIFA
HSP90AB1	6p21.1	23 (12.04%)	3 (3.37%)	1.84	0.0130	0.667	(A) NON-SARIFA
CAV1	7q31.2	3 (1.57%)	7 (7.87%)	-2.32	0.0134	0.667	(B) SARIFA
ERV3-1	7q11.21	3 (1.57%)	7 (7.87%)	-2.32	0.0134	0.667	(B) SARIFA
